Rank,Artist,Song,Date,Last Week,Peak,Weeks,Image
141,YoungBoy Never Broke Again,The Last Backyard...,2020-09-26,-,141,1,https://charts-static.billboard.com/img/2017/06/youngboy-never-broke-again-tcd-180x180.jpg
142,Rosalia & Travis Scott,TKN,2020-09-26,126,126,2,https://charts-static.billboard.com/img/2017/06/rosalia-88x-180x180.jpg
143,Taylor Swift Featuring Bon Iver,Exile,2020-09-26,133,133,2,https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg
144,KHEA x Natti Natashi x Prince Royce Featuring Lenny Santos,Ayer Me Llamo Mi Ex,2020-09-26,121,121,2,https://charts-static.billboard.com/img/2020/09/khea-j94-ayer-me-llamo-mi-ex-qy3-180x180.jpg
145,"Super Yei Featuring Towy X Osquel X Beltito, Saammy & Falsetto",Lean,2020-09-26,145,145,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
146,Eminem Featuring Juice WRLD,Godzilla,2020-09-26,142,142,2,https://charts-static.billboard.com/img/1998/10/eminem-6zg.jpg
147,Maroon 5 Featuring Cardi B,Girls Like You,2020-09-26,138,138,2,https://charts-static.billboard.com/img/2002/12/maroon-5-kks.jpg
148,The Chainsmokers Featuring Halsey,Closer,2020-09-26,141,141,2,https://charts-static.billboard.com/img/2013/11/the-chainsmokers-39n-87x87.jpg
149,NiziU,Make You Happy,2020-09-26,192,149,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
150,6ix9ine,Gooba,2020-09-26,111,111,2,https://charts-static.billboard.com/img/2017/12/6ix9ine-4dg-180x180.jpg
151,iTZY,Not Shy,2020-09-26,124,124,2,https://charts-static.billboard.com/img/2019/02/itzy-rmu-180x180.jpg
152,Halsey,Without Me,2020-09-26,151,151,2,https://charts-static.billboard.com/img/2014/10/halsey-m8j-180x180.jpg
153,BENEE Featuring Gus Dapperton,Supalonely,2020-09-26,127,127,2,https://charts-static.billboard.com/img/2019/02/benee-6vi-180x180.jpg
154,YoungBoy Never Broke Again,Dead Trollz,2020-09-26,-,154,1,https://charts-static.billboard.com/img/2017/06/youngboy-never-broke-again-tcd-180x180.jpg
155,Maren Morris,The Bones,2020-09-26,139,139,2,https://charts-static.billboard.com/img/2019/03/maren-morris-4ky-the-bones-wki-180x180.jpg
156,John Legend,All Of Me,2020-09-26,143,143,2,https://charts-static.billboard.com/img/2004/04/john-legend-035-180x180.jpg
157,Niack,Oh Juliana,2020-09-26,132,132,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
158,Moneybagg Yo,Said Sum,2020-09-26,180,158,2,https://charts-static.billboard.com/img/2017/03/moneybagg-yo-1uf-180x180.jpg
159,Ariana Grande,7 Rings,2020-09-26,161,159,2,https://charts-static.billboard.com/img/2011/02/ariana-grande-nxo-180x180.jpg
160,Arizona Zervas,Roxanne,2020-09-26,147,147,2,https://charts-static.billboard.com/img/2019/11/arizona-zervas-egt-180x180.jpg
161,James Arthur,Say You Won't Let Go,2020-09-26,158,158,2,https://charts-static.billboard.com/img/2016/11/james-arthur-p5t-106x106.jpg
162,Harry Styles,Falling,2020-09-26,163,162,2,https://charts-static.billboard.com/img/2017/04/harry-styles-6jk-180x180.jpg
163,NEA,Some Say,2020-09-26,144,144,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
164,Gunna Featuring Young Thug,Dollaz On My Head,2020-09-26,152,152,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
165,Journey,Don't Stop Believin',2020-09-26,150,150,2,https://charts-static.billboard.com/img/2005/08/journey-0b3-dontstopbelievin-mvt-180x180.jpg
166,Maluma Featuring Lenny Tavarez & Justin Quiles,Parce,2020-09-26,169,166,2,https://charts-static.billboard.com/img/2016/12/maluma-180x180.jpg
167,Diplo Presents Thomas Wesley Featuring Morgan Wallen,Heartless,2020-09-26,154,154,2,https://charts-static.billboard.com/img/2008/11/diplo-4il-180x180.jpg
168,Post Malone Featuring 21 Savage,Rockstar,2020-09-26,156,156,2,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
169,Drake Featuring Giveon,Chicago Freestyle,2020-09-26,146,146,2,https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg
170,Arcangel x Sech,Sigues Con El,2020-09-26,159,159,2,https://charts-static.billboard.com/img/2006/05/arcangel-pqf-180x180.jpg
171,Marshmello & Bastille,Happier,2020-09-26,164,164,2,https://charts-static.billboard.com/img/2016/01/marshmello-dhc-180x180.jpg
172,J Balvin,Azul,2020-09-26,166,166,2,https://charts-static.billboard.com/img/2010/07/j-balvin-i5b-180x180.jpg
173,Ed Sheeran,Thinking Out Loud,2020-09-26,181,173,2,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
174,Morgan Wallen,More Than My Hometown,2020-09-26,184,174,2,https://charts-static.billboard.com/img/2016/08/morgan-wallen-nlu-180x180.jpg
175,Eito,Kousui,2020-09-26,186,175,2,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
176,Bad Bunny,Yo Perreo Sola,2020-09-26,153,153,2,https://charts-static.billboard.com/img/2016/10/bad-bunny-c3m-180x180.jpg
177,Eagles,Hotel California,2020-09-26,170,170,2,https://charts-static.billboard.com/img/1972/06/eagles-ma9-180x180.jpg
178,Luke Combs,Lovin' On You,2020-09-26,-,178,1,https://charts-static.billboard.com/img/2019/06/luke-combs-9dm-lovin-on-you-c87-180x180.jpg
179,BTS Featuring Halsey,Boy With Luv,2020-09-26,194,179,2,https://charts-static.billboard.com/img/2013/06/bts-hm9-180x180.jpg
180,Ir-Sais x Rauw Alejandro,Dream Girl,2020-09-26,157,157,2,https://charts-static.billboard.com/img/2018/09/rauwalejandro-37g-180x180.jpg
181,Billie Eilish,Ocean Eyes,2020-09-26,178,178,2,https://charts-static.billboard.com/img/2017/02/billie-eilish-lrt-180x180.jpg
182,The Chainsmokers & Coldplay,Something Just Like This,2020-09-26,172,172,2,https://charts-static.billboard.com/img/2013/11/the-chainsmokers-39n-87x87.jpg
183,Black Eyed Peas X J Balvin,RITMO (Bad Boys For Life),2020-09-26,173,173,2,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-f5s-180x180.jpg
184,Imagine Dragons,Thunder,2020-09-26,175,175,2,https://charts-static.billboard.com/img/1840/12/imagine-dragons-hy6-180x180.jpg
185,"Ozuna, Doja Cat & Sia",Del Mar,2020-09-26,101,101,2,https://charts-static.billboard.com/img/2016/04/ozuna-gin-180x180.jpg
186,YoungBoy Never Broke Again,Right Foot Creep,2020-09-26,-,186,1,https://charts-static.billboard.com/img/2017/06/youngboy-never-broke-again-tcd-180x180.jpg
187,blackbear,Hot Girl Bummer,2020-09-26,176,176,2,https://charts-static.billboard.com/img/2014/05/blackbear-kx0-180x180.jpg
188,"THE SCOTTS, Travis Scott & Kid Cudi",The Scotts,2020-09-26,183,183,2,https://charts-static.billboard.com/img/2013/07/travis-scott-jll-180x180.jpg
189,Morgan Wallen,Chasin' You,2020-09-26,167,167,2,https://charts-static.billboard.com/img/2016/08/morgan-wallen-nlu-180x180.jpg
190,Ashnikko,Daisy,2020-09-26,-,190,1,https://charts-static.billboard.com/img/2020/09/ashnikko-e6w-daisy-2yy-180x180.jpg
191,Ed Sheeran Featuring Khalid,Beautiful People,2020-09-26,196,191,2,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
192,AJR,Bang!,2020-09-26,-,192,1,https://charts-static.billboard.com/img/2020/02/ajr-yr7-bang-djg-180x180.jpg
193,Noah Cyrus & Leon Bridges,July,2020-09-26,195,193,2,https://charts-static.billboard.com/img/2019/08/noah-cyrus-1ay-july-rtg-180x180.jpg
194,Morgan Wallen,Whiskey Glasses,2020-09-26,-,194,1,https://charts-static.billboard.com/img/2016/08/morgan-wallen-nlu-180x180.jpg
195,Guns N' Roses,Sweet Child O' Mine,2020-09-26,188,188,2,https://charts-static.billboard.com/img/2010/07/guns-n-roses-tp2-sweet-child-o-mine-jcn-180x180.jpg
196,Pop Smoke,Something Special,2020-09-26,182,182,2,https://charts-static.billboard.com/img/2019/08/pop-smoke-2yd-180x180.jpg
197,Kygo & OneRepublic,Lose Somebody,2020-09-26,177,177,2,https://charts-static.billboard.com/img/2013/11/kygo-t9r-87x87.jpg
198,Kenshi Yonezu,Kanden,2020-09-26,110,110,2,https://charts-static.billboard.com/img/2013/06/kenshi-yonezu-aoz-180x180.jpg
199,Maddie & Tae,Die From A Broken Heart,2020-09-26,162,162,2,https://charts-static.billboard.com/img/2014/07/maddie-tae-oj4-180x180.jpg
200,Jason Mraz,I'm Yours,2020-09-26,197,197,2,https://charts-static.billboard.com/img/2002/11/jason-mraz-enm-180x180.jpg
1,Cardi B Featuring Megan Thee Stallion,WAP,2020-09-19,-,1,1,https://charts-static.billboard.com/img/2020/08/cardi-b-7bz-wap-8b4-180x180.jpg
2,BTS,Dynamite,2020-09-19,-,2,1,https://charts-static.billboard.com/img/2020/09/bts-hm9-dynamite-zg6-180x180.jpg
3,24kGoldn Featuring iann dior,Mood,2020-09-19,-,3,1,https://charts-static.billboard.com/img/2020/08/24kgoldn-hvh-mood-agm-180x180.jpg
4,Maluma,Hawai,2020-09-19,-,4,1,https://charts-static.billboard.com/img/2020/08/maluma-xt7-hawai-vy6-180x180.jpg
5,Drake Featuring Lil Durk,Laugh Now Cry Later,2020-09-19,-,5,1,https://charts-static.billboard.com/img/2020/08/drake-04g-laugh-now-cry-later-4ss-180x180.jpg
6,Jawsh 685 x Jason Derulo,Savage Love (Laxed - Siren Beat),2020-09-19,-,6,1,https://charts-static.billboard.com/img/2020/06/jawsh-685-000-savage-love-laxed-siren-beat-ii1-180x180.jpg
7,The Weeknd,Blinding Lights,2020-09-19,-,7,1,https://charts-static.billboard.com/img/2019/12/the-weeknd-xmx-blinding-lights-q48-180x180.jpg
8,BLACKPINK X Selena Gomez,Ice Cream,2020-09-19,-,8,1,https://charts-static.billboard.com/img/2020/09/blackpink-l5z-ice-cream-9op-180x180.jpg
9,DaBaby Featuring Roddy Ricch,Rockstar,2020-09-19,-,9,1,https://charts-static.billboard.com/img/2017/01/dababy-sfn-180x180.jpg
10,Harry Styles,Watermelon Sugar,2020-09-19,-,10,1,https://charts-static.billboard.com/img/2019/11/harry-styles-6jk-watermelonsugar-w6n-180x180.jpg
11,DJ Khaled Featuring Drake,Popstar,2020-09-19,-,11,1,https://charts-static.billboard.com/img/2006/02/dj-khaled-2l5-180x180.jpg
12,Pop Smoke Featuring Lil Baby & DaBaby,For The Night,2020-09-19,-,12,1,https://charts-static.billboard.com/img/2019/08/pop-smoke-2yd-180x180.jpg
13,"Sech, Daddy Yankee & J Balvin Featuring Rosalia & Farruko",Relacion,2020-09-19,-,13,1,https://charts-static.billboard.com/img/2020/04/sech-43v-relacion-zna-180x180.jpg
14,SAINt JHN,Roses,2020-09-19,-,14,1,https://charts-static.billboard.com/img/2020/03/saint-jhn-y2f-roses-h0w-180x180.jpg
15,Pop Smoke Featuring Lil Tjay,Mood Swings,2020-09-19,-,15,1,https://charts-static.billboard.com/img/2019/08/pop-smoke-2yd-180x180.jpg
16,Ozuna x Karol G x Myke Towers,Caramelo,2020-09-19,-,16,1,https://charts-static.billboard.com/img/2020/06/ozuna-gin-caramelo-yj2-180x180.jpg
17,"Jack Harlow Featuring DaBaby, Tory Lanez & Lil Wayne",Whats Poppin,2020-09-19,-,17,1,https://charts-static.billboard.com/img/2020/06/jackharlow-i43-whatspoppin-q71-180x180.jpg
18,Tones And I,Dance Monkey,2020-09-19,-,18,1,https://charts-static.billboard.com/img/2019/08/tones-and-i-e1q-dance-monkey-pbf-180x180.jpg
19,Joel Corry X MNEK,Head & Heart,2020-09-19,-,19,1,https://charts-static.billboard.com/img/2020/07/joel-corry-000-head-and-heart-aga-180x180.jpg
20,Conan Gray,Heather,2020-09-19,-,20,1,https://charts-static.billboard.com/img/2018/11/conan-gray-9al-180x180.jpg
21,Topic & A7S,Breaking Me,2020-09-19,-,21,1,https://charts-static.billboard.com/img/2020/05/topic-r9y-breaking-me-7x3-180x180.jpg
22,Lady Gaga & Ariana Grande,Rain On Me,2020-09-19,-,22,1,https://charts-static.billboard.com/img/2020/06/lady-gaga-b8x-rain-on-me-iib-180x180.jpg
23,Miley Cyrus,Midnight Sky,2020-09-19,-,23,1,https://charts-static.billboard.com/img/2020/08/miley-cyrus-rjp-midnight-sky-m3e-180x180.jpg
24,Internet Money & Gunna Featuring Don Toliver & NAV,Lemonade,2020-09-19,-,24,1,https://charts-static.billboard.com/img/2019/10/internet-money-vaq-180x180.jpg
25,Karol G,"Ay, Dios Mio!",2020-09-19,-,25,1,https://charts-static.billboard.com/img/2016/05/karol-g-tb3-180x180.jpg
26,Chris Brown & Young Thug,Go Crazy,2020-09-19,-,26,1,https://charts-static.billboard.com/img/2005/07/chris-brown-94g-180x180.jpg
27,Juice WRLD x Marshmello,Come & Go,2020-09-19,-,27,1,https://charts-static.billboard.com/img/2018/05/juice-wrld-as8-180x180.jpg
28,Rauw Alejandro x Camilo,Tattoo,2020-09-19,-,28,1,https://charts-static.billboard.com/img/2020/07/rauwalejandro-37g-tattoo-onr-180x180.jpg
29,Nio Garcia x Anuel AA x Myke Towers x Brray x Juanka,La Jeepeta,2020-09-19,-,29,1,https://charts-static.billboard.com/img/2018/04/nio-garcia-hk8-180x180.jpg
30,Tate McRae,You Broke Me First.,2020-09-19,-,30,1,https://charts-static.billboard.com/img/2020/08/tatemcrae-rxu-youbrokemefirst-int-180x180.jpg
31,"J Balvin, Dua Lipa, Bad Bunny & Tainy",Un Dia (One Day),2020-09-19,-,31,1,https://charts-static.billboard.com/img/2010/07/j-balvin-i5b-180x180.jpg
32,Lewis Capaldi,Someone You Loved,2020-09-19,-,32,1,https://charts-static.billboard.com/img/2019/02/lewis-capaldi-s2h-180x180.jpg
33,BLACKPINK,How You Like That,2020-09-19,-,33,1,https://charts-static.billboard.com/img/2016/08/blackpink-l5z-180x180.jpg
34,Lewis Capaldi,Before You Go,2020-09-19,-,34,1,https://charts-static.billboard.com/img/2017/04/lewis-capaldi-s2h-180x180.jpg
35,Ava Max,Kings & Queens,2020-09-19,-,35,1,https://charts-static.billboard.com/img/2020/03/ava-max-h98-kings-and-queens-in6-180x180.jpg
36,SZA Featuring Ty Dolla $ign,Hit Different,2020-09-19,-,36,1,https://charts-static.billboard.com/img/2020/09/sza-mhq-hit-different-ql4-180x180.jpg
37,Dua Lipa,Don't Start Now,2020-09-19,-,37,1,https://charts-static.billboard.com/img/2015/11/dua-lipa-5k0-180x180.jpg
38,DJ Khaled Featuring Drake,Greece,2020-09-19,-,38,1,https://charts-static.billboard.com/img/2006/02/dj-khaled-2l5-180x180.jpg
39,Future Featuring Drake,Life Is Good,2020-09-19,-,39,1,https://charts-static.billboard.com/img/1988/03/future-f8b-180x180.jpg
40,Pop Smoke Featuring 50 Cent & Roddy Ricch,The Woo,2020-09-19,-,40,1,https://charts-static.billboard.com/img/2019/08/pop-smoke-2yd-180x180.jpg
41,DJ Nelson Presenta Jay Wheeler & Myke Towers,La Curiosidad,2020-09-19,-,41,1,https://charts-static.billboard.com/img/2020/03/jay-wheeler-9ai-180x180.jpg
42,Saweetie,Tap In,2020-09-19,-,42,1,https://charts-static.billboard.com/img/2018/03/saweetie-g0q-180x180.jpg
43,Powfu Featuring beabadoobee,Death Bed,2020-09-19,-,43,1,https://charts-static.billboard.com/img/2020/03/powfu-000-death-bed-xs7-180x180.jpg
44,Jason Derulo,Take You Dancing,2020-09-19,-,44,1,https://charts-static.billboard.com/img/2009/07/jason-derulo-d0c-180x180.jpg
45,Master KG Featuring Burna Boy & Nomcebo Zikode,Jerusalema,2020-09-19,-,45,1,https://charts-static.billboard.com/img/2020/06/master-kg-featuring-burna-boy-and-nomcebo-zikode-120-180x180.jpg
46,Tainy x J Balvin,Agua,2020-09-19,-,46,1,https://charts-static.billboard.com/img/2020/07/tainy-otf-agua-tp1-180x180.jpg
47,Dua Lipa,Break My Heart,2020-09-19,-,47,1,https://charts-static.billboard.com/img/2020/04/dua-lipa-5k0-break-my-heart-fn5-180x180.jpg
48,Juice WRLD,Wishing Well,2020-09-19,-,48,1,https://charts-static.billboard.com/img/2018/05/juice-wrld-as8-180x180.jpg
49,Juice WRLD & The Weeknd,Smile,2020-09-19,-,49,1,https://charts-static.billboard.com/img/2020/08/juice-wrld-as8-smile-zj5-180x180.jpg
50,Doja Cat,Say So,2020-09-19,-,50,1,https://charts-static.billboard.com/img/2018/04/doja-cat-lm6-180x180.jpg
51,Post Malone,Circles,2020-09-19,-,51,1,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
52,Megan Thee Stallion,Savage,2020-09-19,-,52,1,https://charts-static.billboard.com/img/2020/03/megan-thee-stallion-dkc-savage-n0u-180x180.jpg
53,Kane Brown With Swae Lee & Khalid,Be Like That,2020-09-19,-,53,1,https://charts-static.billboard.com/img/2020/07/kane-brown-dqa-belikethat-mwa-180x180.jpg
54,Machine Gun Kelly X blackbear,My Ex's Best Friend,2020-09-19,-,54,1,https://charts-static.billboard.com/img/2020/08/machine-gun-kelly-ubc-my-exs-best-friend-ilc-180x180.jpg
55,Billie Eilish,Bad Guy,2020-09-19,-,55,1,https://charts-static.billboard.com/img/2019/04/billie-eilish-lrt-bad-guy-vul-180x180.jpg
56,Surf Mesa Featuring Emilee,ily,2020-09-19,-,56,1,https://charts-static.billboard.com/img/2020/04/surf-mesa-000-ily-b5f-180x180.jpg
57,Aya Nakamura Featuring Maluma,Djadja,2020-09-19,-,57,1,https://charts-static.billboard.com/img/2020/09/aya-nakamura-featuring-maluma-000-djadja-wjj-180x180.jpg
58,Pinkfong,Baby Shark,2020-09-19,-,58,1,https://charts-static.billboard.com/img/2018/07/pinkfong-2rz-180x180.jpg
59,Post Malone & Swae Lee,Sunflower (Spider-Man: Into The Spider-Verse),2020-09-19,-,59,1,https://charts-static.billboard.com/img/2015/06/post-malone-8b5-180x180.jpg
60,Ariana Grande & Justin Bieber,Stuck With U,2020-09-19,-,60,1,https://charts-static.billboard.com/img/2011/02/ariana-grande-nxo-180x180.jpg
61,Ed Sheeran,Perfect,2020-09-19,-,61,1,https://charts-static.billboard.com/img/2011/07/ed-sheeran-w3r-180x180.jpg
62,Lil Mosey,Blueberry Faygo,2020-09-19,-,62,1,https://charts-static.billboard.com/img/2018/09/lil-mosey-j5a-180x180.jpg
63,Rod Wave Featuring ATR Son Son,Rags2Riches,2020-09-19,-,63,1,https://charts-static.billboard.com/img/2019/06/rod-wave-qt2-180x180.jpg
64,Big Sean Featuring Travis Scott,Lithuania,2020-09-19,-,64,1,https://charts-static.billboard.com/img/2011/01/big-sean-obf-180x180.jpg
65,"Black Eyed Peas, Ozuna + J.Rey Soul",Mamacita,2020-09-19,-,65,1,https://charts-static.billboard.com/img/1998/07/the-black-eyed-peas-f5s-180x180.jpg
66,Pop Smoke,Dior,2020-09-19,-,66,1,https://charts-static.billboard.com/img/2019/08/pop-smoke-5gi-180x180.jpg
67,Calvin Harris X The Weeknd,Over Now,2020-09-19,-,67,1,https://charts-static.billboard.com/img/2020/09/calvin-harris-ds5-over-now-svi-180x180.jpg
68,Big Sean Featuring Post Malone,Wolves,2020-09-19,-,68,1,https://charts-static.billboard.com/img/2011/01/big-sean-obf-180x180.jpg
69,StaySolidRocky,Party Girl,2020-09-19,-,69,1,https://www.billboard.com/wp-content/themes/vip/pmc-billboard-2021/assets/public/lazyload-fallback.gif
70,Roddy Ricch,The Box,2020-09-19,-,70,1,https://charts-static.billboard.com/img/2018/11/roddy-ricch-zyg-180x180.jpg
71,Harry Styles,Adore You,2020-09-19,-,71,1,https://charts-static.billboard.com/img/2017/04/harry-styles-6jk-180x180.jpg
72,Shawn Mendes & Camila Cabello,Senorita,2020-09-19,-,72,1,https://charts-static.billboard.com/img/2014/07/shawn-mendes-pz2-180x180.jpg
73,Drake,Toosie Slide,2020-09-19,-,73,1,https://charts-static.billboard.com/img/2009/04/drake-04g-180x180.jpg
74,Maroon 5,Memories,2020-09-19,-,74,1,https://charts-static.billboard.com/img/2019/10/maroon-5-9st-180x180.jpg
75,Lil Nas X Featuring Billy Ray Cyrus,Old Town Road,2020-09-19,-,75,1,https://charts-static.billboard.com/img/2019/01/lil-nas-x-qv4-180x180.jpg
76,Justin Bieber Featuring Quavo,Intentions,2020-09-19,-,76,1,https://charts-static.billboard.com/img/2020/02/justin-bieber-4oh-intentions-fcv-180x180.jpg
77,Taylor Swift,Cardigan,2020-09-19,-,77,1,https://charts-static.billboard.com/img/2006/07/taylor-swift-824-180x180.jpg
78,Gabby Barrett,I Hope,2020-09-19,-,78,1,https://charts-static.billboard.com/img/2019/03/gabby-barrett-ait-i-hope-uem-180x180.jpg
79,"Feid, J Balvin, Maluma, Nicky Jam, Sech & Justin Quiles",Porfa,2020-09-19,-,79,1,https://charts-static.billboard.com/img/2020/07/feid-ug7-porfa-071-180x180.jpg
80,YOASOBI,Yoru Ni Kakeru,2020-09-19,-,80,1,https://charts-static.billboard.com/img/2020/09/yoasobi-i3g-yoru-ni-kakeru-tq6-180x180.jpg
81,Lady Gaga & Bradley Cooper,Shallow,2020-09-19,-,81,1,https://charts-static.billboard.com/img/2008/04/lady-gaga-b8x-180x180.jpg
82,Imagine Dragons,Believer,2020-09-19,-,82,1,https://charts-static.billboard.com/img/2017/02/imagine-dragons-ud7-believer-hmi-180x180.jpg
83,The Weeknd,In Your Eyes,2020-09-19,-,83,1,https://charts-static.billboard.com/img/2011/11/the-weeknd-xmx-180x180.jpg
84,Marshmello & Halsey,Be Kind,2020-09-19,-,84,1,https://charts-static.billboard.com/img/2016/01/marshmello-dhc-180x180.jpg
85,Labrinth,Still Don't Know My Name,2020-09-19,-,85,1,https://charts-static.billboard.com/img/2010/06/labrinth-g0i-106x106.jpg
86,Ed Sheeran,Shape Of You,2020-09-19,-,86,1,https://charts-static.billboard.com/img/2017/01/ed-sheeran-w3r-shape-of-you-0ej-180x180.jpg
